Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,ID,Duration_ms,Genre,genre
0.611,0.498,0,-12.217,1,0.0322,0.254,2.2e-6,0.126,0.313,139.935,1LbPuFrhTY3mwrIvOGGWRn,288922,christianpop,pop
0.685,0.615,7,-7.649,1,0.135,0.0468,1.92e-5,0.683,0.654,89.98,1nGoPhTWBeEMiYTbHXoY6i,217332,italianundergroundhiphop,hiphop
0.696,0.12,9,-20.786,0,0.139,0.992,0.918,0.0868,0.416,139.944,59zDQbdeN5dOtLiwSBhcJj,195429,deepsmoothjazz,jazz
0.58,0.515,9,-11.723,1,0.0601,0.417,9e-4,0.362,0.828,130.09,4p5RiUTn5fcn05ACSWgZAg,142347,southernrock,rock
0.604,0.931,9,-3.326,1,0.175,0.00516,0,0.271,0.682,96.249,1jH2IzZ7JnixFoGG6XSnpf,213760,funkrock,rock
0.409,0.91,8,-5.792,1,0.0513,5.73e-4,8.24e-4,0.103,0.372,138.968,2XI1Ja1rRLgNuiZCvias4w,304907,canadianrock,rock
0.428,0.6,2,-9.141,1,0.0298,0.0131,0.00428,0.0943,0.311,101.309,4rnuiYZD1tTMILDKCYDTkg,289880,swedishhardrock,rock
0.431,0.545,2,-5.573,1,0.0294,0.484,0,0.0681,0.468,118.336,23gNT4PAHYhb7XzGiZIY9X,217733,newwavepop,pop
0.524,0.673,8,-4.335,1,0.0361,0.0494,0,0.247,0.413,84.484,2uHRRlUtBzl5WezByTFsTD,211707,reggaerock,rock
0.777,0.59,5,-12.95,0,0.0331,0.0564,8.22e-6,0.25,0.926,117.179,6bwQiZYcLYO564uq88PmqE,181840,modernblues,blues
0.79,0.856,10,-3.484,0,0.214,0.0142,1.12e-5,0.0875,0.519,160.011,0bmILmY54rzi34jMbIpvvS,206420,norwegianhiphop,hiphop
0.403,0.943,11,-4.146,0,0.0487,1.41e-4,0,0.368,0.23,93.053,5lo6AV3ErTWejIStLS6LhN,142147,ukalternativepop,pop
0.378,0.166,2,-10.319,0,0.0442,0.952,2.15e-4,0.121,0.447,52.536,2MVBdpCOyFYmUzzUTBJuJZ,189853,danishindiepop,pop
0.525,0.633,5,-6.772,1,0.4,0.432,0,0.246,0.626,184.264,5GoFbO2wZblJjluAujLbgY,260965,belgianindierock,rock
0.627,0.929,6,-2.376,0,0.081,0.0349,0,0.281,0.685,114.994,360aE5q4fclWPlsH73SdHO,244787,christianpop,pop
0.439,0.776,0,-8.64,1,0.0931,0.394,0,0.851,0.812,166.063,2GQt8Q1A8iDTSaRZekK8R4,342267,bluesband,blues
0.739,0.654,8,-8.882,0,0.0292,0.0608,0.00348,0.138,0.701,88.514,7gjzhK1OgXSmP1Ku955GPT,229146,albanianhiphop,hiphop
0.48,0.838,9,-7.138,0,0.0472,0.00159,0.79,0.158,0.148,120.144,4bigtD1NBd7U7NbP7HlJlJ,376875,italianpost-rock,rock
0.497,0.498,1,-7.421,1,0.0266,0.827,1.19e-4,0.108,0.357,135.738,2t9IYNGfcaKSBKCHXZMv6h,187467,canadianpop,pop
0.916,0.493,1,-7.371,0,0.162,0.12,2.63e-6,0.211,0.327,140.057,1RagpNpkD3KcjXMLGMe99V,195591,finnishhiphop,hiphop
0.825,0.602,8,-8.967,0,0.122,0.0465,0,0.0791,0.902,124.146,7pppyycFSZIg08ZwEyaZyH,158710,norwegianhiphop,hiphop
0.404,0.607,9,-10.381,1,0.0451,0.327,0.03,0.155,0.576,149.604,4UKe38tm5NkRpuFCxwewEe,184547,lapop,pop
0.379,0.531,9,-8.458,1,0.0297,0.548,3.59e-4,0.0937,0.215,150.875,1vI9XofqLxSkCYeNLWdBzo,244440,christianpop,pop
0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,0ntQJM78wzOLVeCUAW7Y45,203347,deeppoppunk,pop
0.785,0.692,9,-5.647,1,0.0776,0.112,0.00505,0.326,0.944,102.019,1W2ox3KxfTEQfO5NdOaK7E,178667,geekrock,rock
0.749,0.975,1,-3.798,0,0.123,0.156,0,0.07,0.521,95.992,24k4QxSAavX21LJbKnKhJI,203680,cumbiapop,pop
0.52,0.858,8,-7.914,1,0.0358,0.096,0.588,0.14,0.444,76.761,0lDoG5fQ9cmpvpenwR7Jln,295813,geekrock,rock
0.634,0.779,9,-6.607,1,0.0361,0.0255,0.00103,0.342,0.562,82.003,2bmBc4ovS9p18e1IUYHSE9,217451,funkrock,rock
0.75,0.737,0,-4.89,1,0.0723,0.00595,1.14e-4,0.113,0.354,97.921,7mGdJWJETc696zijUeZ2FD,211789,finnishhiphop,hiphop
0.511,0.568,0,-13.944,1,0.0438,0.169,0,0.104,0.705,152.258,38sMOyKqk5SB3ElSUiGMMX,255773,canadianrock,rock
0.263,0.939,1,-4.648,1,0.0834,7.66e-5,3.64e-4,0.374,0.408,175.293,3tQ6LmYZeoJ4dwkZ3IGoSj,223773,deepindierock,rock
0.695,0.379,6,-9.096,1,0.0339,0.861,0,0.106,0.808,105.108,3IPJg1sdqLj12kFIndaonN,199733,lapop,pop
0.572,0.867,3,-6.354,1,0.0782,0.00562,3.32e-5,0.178,0.863,151.076,5M2y8QdDepGYMsWyxhoxQU,202747,swedishindiepop,pop
0.311,0.471,11,-9.745,1,0.0328,0.0121,0.605,0.0837,0.29,89.985,4FTMGhb3xvuYfqNWsQoYz8,512427,atmosphericpost-rock,rock
0.657,0.281,0,-10.224,1,0.0349,0.0654,0,0.114,0.516,120.043,53nwbka5GhldzexLZw7N8H,192909,swedishindiepop,pop
0.451,0.931,9,-3.871,1,0.0719,7.6e-4,0.0049,0.361,0.172,122.961,1jJci4qxiYcOHhQR247rEU,302840,reggaerock,rock
0.703,0.81,4,-4.874,0,0.0424,3.15e-4,0,0.216,0.726,102.978,0RZyUsKfiC7MtiGKatCtGc,216200,austrianhiphop,hiphop
0.476,0.993,1,0.482,0,0.0631,0.0014,0,0.0438,0.485,99.95,49QC6x8ZLqSaIotVbXcaVC,150552,indonesianpoppunk,pop
0.626,0.936,11,-3.86,0,0.036,0.016,4.41e-6,0.337,0.656,101.01,6olKv2HP3XgBpvVxAswowe,198267,albertacountry,country
0.67,0.753,1,-5.058,0,0.0383,0.0208,2.71e-6,0.266,0.555,90.389,2Z2vOukzwOgqR4dkymRSWd,182500,reggaerock,rock
0.674,0.442,9,-11.605,1,0.0721,0.213,0,0.0986,0.154,73.997,09iua9IzYQRa5uX16BLUcu,197956,norwegianhiphop,hiphop
0.591,0.7,5,-5.606,1,0.0261,0.177,2.7e-4,0.149,0.682,80.673,2julHzta3pq6E1ugxyvsbj,259867,wrock,rock
0.821,0.418,9,-9.841,0,0.0407,0.321,3.72e-4,0.222,0.803,117.382,4JVeqfE2tpi7Pv63LJZtPh,360240,rhythmandblues,blues
0.585,0.857,5,-7.615,1,0.0512,0.0328,0.705,0.0652,0.785,96.792,5QeUJQE32ldtIak6umCCNf,274133,deeplatinjazz,jazz
0.753,0.761,1,-5.362,1,0.14,0.295,0,0.0824,0.592,150.01,4yuiCQKlybm9WxSMJ4FC6n,236947,rockkapak,rock
0.403,0.561,0,-8.558,1,0.0528,0.0952,0.13,0.113,0.559,71.022,3CBBEva6E52ru6G1jft980,358893,modernblues,blues
0.494,0.243,5,-9.083,0,0.0316,0.822,0.00225,0.147,0.0722,126.063,4gVZhkcsZcwQ4mU1gEeXEO,268854,deepsoftrock,rock
0.574,0.802,7,-3.976,1,0.0316,0.659,5.07e-6,0.0765,0.739,93.536,47TyfLrGhYHHyyQWk64d0M,280453,regionalmexicanpop,pop
0.494,0.661,10,-7.54,0,0.047,0.486,0.806,0.116,0.204,89.659,0Etl0p4Z6doS0xFxqdhrOn,260253,mandepop,pop
0.617,0.84,4,-4.063,1,0.0512,0.36,8.85e-5,0.179,0.57,94.676,3LI4MmibTkXH5cGpCGZgyw,241840,deeppoppunk,pop
0.486,0.887,2,-5.541,1,0.0482,1.96e-4,2.11e-6,0.353,0.424,100.042,20WpEghW2MHSWs7BSQ7kWu,160747,mexicanpoppunk,pop
0.381,0.938,9,-12.077,1,0.0392,5.49e-4,0.41,0.227,0.755,146.158,1m2cUp3I29lCzilYHWdTcQ,357200,undergroundpowerpop,pop
0.655,0.923,9,-4.204,0,0.0535,0.00217,2.58e-6,0.0459,0.431,120.127,5IjmWuHrmUIwRoRJk4zdPV,285467,indonesianpop,pop
0.534,0.643,7,-12.334,1,0.0736,0.659,0.00807,0.519,0.914,98.836,6JipghZxU67Xf78b7PmtQX,254213,pianoblues,blues
0.549,0.707,7,-9.183,1,0.0273,0.0884,1.3e-4,0.577,0.777,129.963,0wUFXsXHZc2h6wKRcmJNWF,198707,rocknacional,rock
0.51,0.81,4,-5.446,0,0.0412,0.0779,4.13e-4,0.208,0.5,114.458,7D6xMEUjTkSSldjHBttSlO,356346,modernblues,blues
0.26,0.262,3,-12.234,1,0.0395,0.0015,0.871,0.154,0.0784,125.054,5kzu8oVHMw73EuNpRWhvmL,473000,germanpost-rock,rock
0.288,0.758,6,-5.692,0,0.0371,0.00616,0,0.303,0.619,97.094,2AT8iROs4FQueDv2c8q2KE,201726,indieemorock,rock
